Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2020-08-01 16:00:00,BUY,BTCUSD,chopdev exp 3,300.31,2020-08-07 16:00:00,383.30000000,374.36000000,,159.27036000,-2889.50000000,375.60893800,425.56472200,415.49720000,324.65510000
2020-08-30 12:00:00,BUY,BTCUSD,chopdev exp 3,269.24,2020-09-03 08:00:00,416.81000000,422.65000000,,158.20858500,1368.92000000,408.44654700,462.76971500,488.45963900,414.68426900
2020-10-09 12:00:00,BUY,BTCUSD,chopdev exp 3,311.09,2020-10-15 08:00:00,365.13000000,372.21000000,,160.56449300,1996.07000000,357.80352600,405.39120000,394.48645200,361.66126500
2020-10-21 12:00:00,BUY,BTCUSD,chopdev exp 3,294.93,2020-10-26 12:00:00,391.90000000,393.62000000,,162.16979500,298.77000000,384.03637600,435.11300400,420.39113000,387.98100000
2020-11-04 16:00:00,BUY,BTCUSD,chopdev exp 3,287.93,2020-11-15 08:00:00,402.46000000,455.21000000,,172.86442600,14966.07000000,394.38448500,446.83740700,477.63952800,395.77916400
2020-11-21 12:00:00,BUY,BTCUSD,chopdev exp 3,243.59,2020-11-26 00:00:00,537.10000000,532.06000000,,182.30687700,-1462.10000000,526.32288200,596.32353800,622.49890000,504.49803000
2020-11-30 20:00:00,BUY,BTCUSD,chopdev exp 3,209.80,2020-12-04 08:00:00,616.66000000,585.57000000,,176.55537400,-6749.53000000,604.28648000,684.65625200,635.15980000,559.43395200
2020-12-16 16:00:00,BUY,BTCUSD,chopdev exp 3,196.99,2020-12-21 08:00:00,622.50000000,606.64000000,,169.49333000,-3342.25000000,610.00929800,691.14020200,675.66150000,602.45550000
2020-12-27 12:00:00,BUY,BTCUSD,chopdev exp 3,170.95,2021-01-04 00:00:00,697.81000000,1025.79000000,,206.25278400,55802.51000000,683.80817400,774.75428800,1025.15267100,659.50023100
2021-02-02 16:00:00,BUY,BTCUSD,chopdev exp 3,115.45,2021-02-07 12:00:00,1516.13000000,1538.21000000,,246.84311500,2231.83000000,1485.70826800,1683.30665800,1759.16563900,1495.81385800
2021-03-29 16:00:00,BUY,BTCUSD,chopdev exp 3,97.61,2021-04-07 08:00:00,1816.08000000,1977.89000000,,259.23669600,15461.34000000,1779.63965600,2016.33076000,2149.33068000,1766.50101600
2021-04-21 12:00:00,BUY,BTCUSD,chopdev exp 3,78.89,2021-04-23 00:00:00,2442.80000000,2282.74000000,,260.96742700,-12963.09000000,2393.78427800,2712.15628200,2642.37676000,2113.75484000
2021-04-26 08:00:00,BUY,BTCUSD,chopdev exp 3,71.41,2021-05-08 16:00:00,2517.30000000,3700.44000000,,310.81879100,84091.84000000,2466.78940700,2794.87105300,3698.16543000,2427.68412000
2021-07-26 00:00:00,BUY,BTCUSD,chopdev exp 3,113.85,2021-08-12 12:00:00,2317.03000000,3029.76000000,,426.09633500,80593.41000000,2270.53790200,2572.51820400,3271.87806300,2148.35021600
2021-08-30 16:00:00,BUY,BTCUSD,chopdev exp 3,103.05,2021-09-07 08:00:00,3341.16000000,3749.18000000,,511.45919400,41388.67000000,3274.11834000,3709.57429200,4024.76133600,3185.79606000
2021-10-01 16:00:00,BUY,BTCUSD,chopdev exp 3,116.95,2021-10-10 20:00:00,3297.65000000,3414.22000000,,549.46160000,12926.27000000,3231.48138400,3661.26664600,3692.04894000,3254.12102000
2021-11-02 20:00:00,BUY,BTCUSD,chopdev exp 3,86.84,2021-11-06 08:00:00,4589.89000000,4369.52000000,,544.60391900,-19836.41000000,4497.79209200,5095.99598600,4661.95127300,4334.69211600
2021-11-25 20:00:00,BUY,BTCUSD,chopdev exp 3,83.70,2021-11-26 08:00:00,4524.85000000,3985.44000000,,498.64708100,-45792.38000000,4434.05714400,5023.78432600,4547.02176500,3975.98569500
2021-11-30 08:00:00,BUY,BTCUSD,chopdev exp 3,72.54,2021-12-03 12:00:00,4590.47000000,4468.15000000,,459.99002000,-9464.73000000,4498.36045400,5096.63994000,4774.54784700,4428.88545600
2022-03-16 16:00:00,BUY,BTCUSD,chopdev exp 3,117.52,2022-03-31 16:00:00,2753.17000000,3283.54000000,,496.59207900,61689.12000000,2697.92658500,3056.74934900,3479.45624600,2738.30288200
